CN ID,Title,Agency,Publish Date,Category,Contract Start Date,Contract End Date,Value (AUD),ATM ID,Supplier Name,LastUpdated
CN3285501,PegaSystems SWL and SWS,Department of Immigration and Border Protection,14-Aug-15,Software,30-Jun-15,30-Jun-18,15246000,,PEGASYSTEMS LIMITED,14/08/2015 12:01
CN3307340,P Series Hardware to Support Future Traveller,Department of Immigration and Border Protection,27-Nov-15,Components for information technology or broadcasting or telecommunications,19-Nov-15,18-Nov-20,3013972.5,FIN11/COO009,IBM AUSTRALIA LTD,27/11/2015 9:59
CN3080282,Power Edge Servers/Equipment New Commercial DC,Department of Immigration and Border Protection,22-May-15,Computer servers,7-May-15,30-Jun-15,1851556.3,FIN11/COO009,DELL AUSTRALIA PTY LIMITED,22/05/2015 12:08
CN3300236,Oracle EKSS Software Licenses,Department of Immigration and Border Protection,23-Oct-15,Software,1-Nov-15,31-Oct-18,1451400.15,CIOG077/12,ORACLE CORPORATION AUSTRALIA PTY LI,23/10/2015 16:29
CN3145372,Hardware Storage Infrastructure,Department of Immigration and Border Protection,11-Jun-15,Data Voice or Multimedia Network Equipment or Platforms and Accessories,29-May-15,30-Jun-15,1339888.88,FIN11/COO009,HITACHI DATA SYSTEMS AUSTRALIA,11/06/2015 16:21
CN3304408,CCTV related services,Department of Immigration and Border Protection,13-Nov-15,Components for information technology or broadcasting or telecommunications,29-Oct-15,30-Jun-20,2862464,,ASG GROUP LIMITED,13/11/2015 8:58
CN2978232-A2,Mobile Biometrics Collection Equipment and Support,Department of Immigration and Border Protection,10-Apr-15,Components for information technology or broadcasting or telecommunications,20-Mar-15,30-May-15,831109.4,126993A,DAON (AUSTRALIA) PTY LTD,18/05/2015 12:28
CN3311781,Archive Platform & Assoc File Servicea,Department of Immigration and Border Protection,18-Dec-15,Components for information technology or broadcasting or telecommunications,9-Dec-15,1-Jan-21,1261791,FIN11/COO009,EMC GLOBAL HOLDINGS COMPANY,18/12/2015 9:31
CN3311787,"Service Virtualisation SW, Services & Training",Department of Immigration and Border Protection,18-Dec-15,Components for information technology or broadcasting or telecommunications,11-Dec-15,10-Dec-16,1227076.16,FIN11/COO009,CA (PACIFIC) PTY LTD,18/12/2015 9:31
CN3285850,Purchase of IT Equipment - Brocades and Disks,"Department of Industry, Innovation and Science",17-Aug-15,Components for information technology or broadcasting or telecommunications,12-Aug-15,12-Aug-20,633009.52,,HEWLETT PACKARD AUSTRALIA PTY LTD,17/08/2015 14:16
CN3285878,"Purchase of IT Equipment - Enclosures, Storage and Blades","Department of Industry, Innovation and Science",17-Aug-15,Components for information technology or broadcasting or telecommunications,11-Aug-15,11-Aug-20,1565634.4,,HEWLETT PACKARD AUSTRALIA PTY LTD,17/08/2015 14:22
CN2994282,Purchase of Information Technology Equipment - Hardware,"Department of Industry, Innovation and Science",20-Apr-15,Computer servers,16-Apr-15,16-Apr-16,1060397.93,,HEWLETT PACKARD AUSTRALIA PTY LTD,20/04/2015 9:41
CN3290861,Provision of ICT Services_Technical Resources,"Department of Industry, Innovation and Science",7-Sep-15,Components for information technology or broadcasting or telecommunications,1-Jul-15,30-Jun-16,1118480,,ALTIS CONSULTING PTY LTD,7/09/2015 10:40
CN3290925,Purchase of IT_Leasing of Multifunction Devices,"Department of Industry, Innovation and Science",7-Sep-15,Computer printers,29-Jun-15,30-Jun-19,2632816,,FUJI XEROX AUSTRALIA PTY LTD,7/09/2015 10:52
CN3304943,Purchase of IT_WiFi Network Hardware,"Department of Industry, Innovation and Science",16-Nov-15,Software,25-Nov-15,24-Nov-16,695151.08,,UXC CONNECT PTY LTD,16/11/2015 15:46
CN3287739,Purchase of ICT Service_Equipment Maintenance,"Department of Industry, Innovation and Science",24-Aug-15,Components for information technology or broadcasting or telecommunications,1-Jul-15,30-Jun-16,911121.1,,IBM AUSTRALIA LTD,24/08/2015 10:13
CN3301736,Purchase of IT - VMWare Enterprise Licensing Agreement,"Department of Industry, Innovation and Science",2-Nov-15,Components for information technology or broadcasting or telecommunications,25-Sep-15,20-Feb-18,1495172.2,,FUJITSU AUSTRALIA LIMITED,2/11/2015 10:00
CN3283419-A1,Refresh of Television Master Control Room,Department of Parliamentary Services,7-Aug-15,Components for information technology or broadcasting or telecommunications,22-Jul-15,21-Jul-16,1869913,DPS13023,BAE Systems Australia Ltd,4/01/2016 16:05
CN3254022,"Endpoint Protection, Email and Web Filtering Software",Department of Parliamentary Services,10-Jul-15,Software,24-Jun-15,23-Jun-18,709887.75,FIN11/COO009,Dimension Data Australia Pty Ltd,10/07/2015 11:45
CN3311607,EOIT Proactive Secure Managed Data Networks,Department of Parliamentary Services,16-Dec-15,Data Voice or Multimedia Network Equipment or Platforms and Accessories,2-Nov-15,11-Nov-20,8509000,FIN10/AGI005-B,Telstra Corporation Ltd,16/12/2015 15:56
CN3062242-A4,Office Machines and Equipment and Support Click Charge,Department of Parliamentary Services,14-May-15,Computer printers,17-Mar-15,4-Sep-16,513077.62,FIN10/FMG018,Konica Minolta Business Solutions,5/02/2016 16:10
CN3120492,ICT software license and/or maintenance,Department of Social Services,16-Jun-15,Software,31-May-15,30-May-16,2782605.5,,Oracle Corporation Australia Pty Ltd,16/06/2015 10:48
CN3312669,ICT equipment,Department of Social Services,24-Dec-15,Computer Equipment and Accessories,24-Dec-15,30-Jan-21,1329692.56,FIN11/COO0009,Infront Systems Pty Ltd,24/12/2015 12:09
CN3289352,ICT Services,Department of Social Services,3-Sep-15,Components for information technology or broadcasting or telecommunications,1-Sep-15,11-Oct-18,4330509.26,RFT70005033,IBM Australia Ltd,3/09/2015 9:49
CN3228782,ICT equipment,Department of Social Services,17-Jul-15,Computer servers,6-Jul-15,30-Jul-19,4589301.73,FIN11/COO009,Hewlett-Packard Australia Pty Ltd,17/07/2015 7:53
CN2801952-A1,ICT Services,Department of Social Services,22-Jan-15,Data Voice or Multimedia Network Equipment or Platforms and Accessories,1-Jul-14,30-Jun-16,843706,,Dept of Immigration and Border Protection,7/08/2015 9:27
CN2942462,ICT equipment,Department of Social Services,26-Mar-15,Computer Equipment and Accessories,30-Mar-15,30-Jun-18,2070368.38,FIN11/COO009,Infront Systems Pty Ltd,26/03/2015 15:12
CN3064412,ICT software licence and/or maintenance,Department of Social Services,25-May-15,Software,22-May-15,30-Jun-15,2106071.03,FIN11/AGI011,Data # 3 Limited,25/05/2015 10:28
CN3307014,ICT equipment,Department of Social Services,30-Nov-15,Computer servers,26-Nov-15,24-Jan-20,681492.94,FIN11/COO009,Hewlett-Packard Australia Pty Ltd,30/11/2015 10:14
CN3248242,ICT Services,Department of Social Services,27-Jul-15,Components for information technology or broadcasting or telecommunications,22-Jul-15,30-Jun-16,754747.4,,Speedcast Australia Pty Limited,27/07/2015 8:51
CN2868571,ICT software licence and/or maintenance,Department of Social Services,2-Mar-15,Software,24-Feb-15,23-Apr-16,2569795.37,,Oracle Corporation Australia Pty Ltd,2/03/2015 16:57
CN2847822,ICT Equipment,Department of Social Services,11-Feb-15,Desktop computers,11-Feb-15,30-Jun-15,830500,RFT FIN10/AGI001,Ethan Group Pty Ltd,11/02/2015 15:22
CN3278992,ICT equipment,Department of Social Services,28-Jul-15,Computer servers,28-Jul-15,27-Jul-20,3826618.47,FIN11/COO009,Infront Systems Pty Ltd,28/07/2015 13:55
CN2913762,ICT software licence and or maintenance,Department of Social Services,26-Mar-15,Software,26-Mar-15,30-Jun-16,880421.52,FIN11/AGI011,Data # 3 Limited,26/03/2015 16:51
CN3280609,ICT equipment,Department of Social Services,3-Aug-15,Computer Equipment and Accessories,3-Aug-15,3-Aug-20,5993929.22,FIN11/COO009,Infront Systems Pty Ltd,3/08/2015 15:21
CN3296325,ICT Software licence and maintenance,Department of Social Services,6-Oct-15,Components for information technology or broadcasting or telecommunications,2-Oct-15,31-Oct-18,1032245.15,RFT70005033,IBM Australia Ltd,6/10/2015 10:31
CN3287319-A1,ICT services,Department of Social Services,26-Aug-15,Components for information technology or broadcasting or telecommunications,24-Aug-15,24-Aug-16,648604,,Oracle Corporation Australia Pty Ltd,17/11/2015 16:37
CN3166192-A1,ICT Services,Department of Social Services,22-Jun-15,Components for information technology or broadcasting or telecommunications,1-Jul-15,30-Jun-16,1140691.2,20000194,Altis Consulting,23/12/2015 11:23
CN3200202,ICT equipment,Department of Social Services,16-Jul-15,Network security equipment,30-Jun-15,30-Jun-18,510373.83,FIN11/COO009,Infront Systems Pty Ltd,16/07/2015 10:06
CN3232672,ICT Software Licence and Maintenance,Department of Social Services,15-Jul-15,Software,30-Jun-15,1-Jul-16,1376551,,SAS Institute Australia Pty Ltd,15/07/2015 11:21
CN3201172,ICT Software License and/or Maintenance,Department of Social Services,30-Jun-15,Software,29-Jun-15,29-Jun-16,852080.07,FIN11/COO009,Fujitsu Australia Limited,30/06/2015 11:32
CN3298553,ICT equipment,Department of Social Services,19-Oct-15,Computer Equipment and Accessories,16-Oct-15,16-Oct-16,2432482.47,,Oracle Corporation Australia Pty Ltd,19/10/2015 14:24
CN2791832,ICT Services,Department of Social Services,9-Jan-15,Data Voice or Multimedia Network Equipment or Platforms and Accessories,1-Jul-14,30-Jun-15,4800000,,Dept of Health,9/01/2015 14:11
CN3301341,ICT software licence and/or maintenance,Department of Social Services,6-Nov-15,Software,6-Nov-15,18-Jun-16,1073419.34,,VMWARE International Limited,6/11/2015 14:41
CN2801152-A3,ICT Services,Department of Social Services,20-Jan-15,Components for information technology or broadcasting or telecommunications,20-Jan-15,30-Sep-15,691639.9,11/000006268,Hudson Global Resources (Aust) Pty Ltd,24/06/2015 11:34
CN3284941,Geographic Information Systems Software Licences,Department of the Environment,13-Aug-15,Software,3-Aug-15,31-Jul-18,2856000.03,1415-0640,ESRI Australia Pty Ltd,13/08/2015 15:48
CN3222532,ICT Software,Department of the Prime Minister and Cabinet,2-Jul-15,Software,22-Jun-15,21-Jun-18,502671.73,CD004058,ZALLCOM PTY LTD,2/07/2015 14:43
CN3283133,Communication Expenses,Department of the Prime Minister and Cabinet,6-Aug-15,Components for information technology or broadcasting or telecommunications,1-Jul-15,30-Jun-18,8848400,,Australian Private Networks Pty Ltd,6/08/2015 15:58
CN2977342,ICT Services,Department of the Prime Minister and Cabinet,9-Apr-15,Components for information technology or broadcasting or telecommunications,5-Jan-15,30-Jun-15,672100,,Whizdom,9/04/2015 14:37
CN3125082,Software,Department of the Prime Minister and Cabinet,4-Jun-15,Software,8-May-15,7-May-18,1031686.63,CD003881,ZALLCOM PTY LTD,4/06/2015 15:32
CN3310035,ICT Equipment,Department of the Prime Minister and Cabinet,10-Dec-15,Communications Devices and Accessories,30-Nov-15,30-Jun-16,500000,,TELSTRA CORPORATION,10/12/2015 14:21
CN2838082,Provision of Mobile Devices and Services,Department of the Prime Minister and Cabinet,5-Feb-15,Components for information technology or broadcasting or telecommunications,22-Dec-14,31-Aug-17,3000000,,Telstra Corporations Ltd,5/02/2015 16:04
CN3284892,ICT Software,Department of the Prime Minister and Cabinet,13-Aug-15,Software,31-Jul-15,30-Jun-16,1300000,,Acronym Integrated Technology Pty Ltd,13/08/2015 15:12
CN3290481,ICT Equipment,Department of the Prime Minister and Cabinet,3-Sep-15,Computer Equipment and Accessories,31-Aug-15,30-Jun-16,1212000,,RICOH AUSTRALIA PTY LTD,3/09/2015 16:18
CN2841912-A1,Phone Services and Maintenance,Department of the Prime Minister and Cabinet,9-Feb-15,Telephony equipment,1-Jul-13,30-Jun-15,2990000.4,DCON12/252,Australian Private Networks Pty Ltd,10/02/2016 17:02
CN2835312-A1,Phone Monitoring and Maintenance,Department of the Prime Minister and Cabinet,9-Feb-15,Telephony equipment,1-Jul-13,30-Jun-15,689271.56,DCON/11/109,Centre For Appropriate Technology,10/02/2016 17:06
CN3005002,ICT Hardware,Department of the Prime Minister and Cabinet,23-Apr-15,Computer Equipment and Accessories,15-Apr-15,30-Jun-15,550352,CD003782,ETHAN GROUP PTY LTD,23/04/2015 16:23
CN3312475,ICT Equipment,Department of the Prime Minister and Cabinet,23-Dec-15,Computer Equipment and Accessories,15-Dec-15,15-Mar-16,673750,,ETHAN GROUP PTY LTD,23/12/2015 9:18
CN3206182,Computer Equipment & Accessories,Department of the Treasury,29-Jun-15,Computer Equipment and Accessories,12-Jun-15,30-Jun-15,1087229,,Qirx Pty Ltd,29/06/2015 11:39
CN3206312,Software,Department of the Treasury,29-Jun-15,Software,22-Jun-15,30-Jun-18,574783,FIN11/COO009,CommsNet Group Pty Ltd,29/06/2015 11:41
CN2869661,Future Desktop Initiative - Hardware,Department of the Treasury,20-Feb-15,Computer Equipment and Accessories,4-Feb-15,30-Jun-15,693990,,Qirx Pty Ltd,20/02/2015 12:55
CN3280785,Software,Department of the Treasury,30-Jul-15,Software,24-Jul-15,2-Jul-16,501776,TSYRFT012/13,Qirx Pty Ltd,30/07/2015 15:27
CN3302443,Host broadcast of the Anzac Day Dawn Service at Gallipoli from 2016 to 2018.,Department of Veterans' Affairs,4-Nov-15,Components for information technology or broadcasting or telecommunications,1-Jul-15,30-Jun-18,900000,,AUSTRALIAN BROADCASTING CORP,4/11/2015 13:39
CN3242192,NOPIMS monthly fees July August September 2015,Geoscience Australia,7-Jul-15,Software,1-Jul-15,30-Sep-15,727650,D2015-96424,Schlumberger Australia Pty Ltd,7/07/2015 17:28
CN3300388-A3,NOPIMS  Access Fees,Geoscience Australia,26-Oct-15,Software,1-Oct-15,30-Apr-16,1947516.87,,Schlumberger Australia Pty Ltd,7/03/2016 11:45
CN2946322,NOPIMS Monthly Fees Jan-March 2015,Geoscience Australia,26-Mar-15,Software,1-Jan-15,31-Mar-15,727650,,Schlumberger Australia Pty Ltd,26/03/2015 15:30
CN2946582,NOPIMS monthly fees April to June 2015,Geoscience Australia,26-Mar-15,Software,1-Apr-15,30-Jun-15,727650,D2015-30873,Schlumberger Australia Pty Ltd,26/03/2015 15:35
CN2946592,NOPIMS preparation of seismic for loading into ProSource,Geoscience Australia,26-Mar-15,Software,18-Mar-15,31-May-15,514127.31,D2015-30873,Schlumberger Australia Pty Ltd,26/03/2015 15:35
CN3106822,NetApp Storage & Software,IP Australia,1-Jun-15,Computer Equipment and Accessories,14-May-15,30-Jun-15,981219.15,IPAC2015/11049,UXC Connect Pty Ltd,1/06/2015 10:06
CN2991752,Enterprise Data Storage Service,Reserve Bank of Australia,20-Apr-15,Data Voice or Multimedia Network Equipment or Platforms and Accessories,27-Jan-15,3-Oct-18,6700000,RBA 2014/04,Hitachi Data Systems Australia Pty Ltd,20/04/2015 14:27
CN2828872,"Adobe Experience Manager, Adobe Analytics, Adobe Media Optimizer and Adobe Social.",Tourism Australia,2-Feb-15,Software,11-Feb-12,9-Feb-17,707125,,Adobe Systems Ireland Ltd,2/02/2015 11:15
