suppliername,value
SAS INSTITUTE AUSTRALIA PTY LTD,6736598
Schlumberger Australia Pty Ltd,4644594.18
Search365 Pty Ltd (FirstServis Pty Ltd),618832
SELEX ES LTD,43512671.65
SERVER RACKS AUSTRALIA,517530.77
SGFLEET,2646269.3
SHELDE PTY LTD,4075034.4
SHOCKANDVIBRATION TECHNOLOGIES,509454
Sliced Tech Pty Ltd,863143
SMS Consulting Group Limited,1461790
SOLUTIONS FROM SILICON,613245.67
SONOBUOY TECHSYSTEMS,894933.62
Southern Cross Computer Systems Pty Ltd,10201575.6
Speedcast Australia Pty Limited,754747.4
SRA Information Technology,1418560
StarTech IT Consulting Pty Ltd,1110208
Symantec Asia Pacific Pty Ltd,4787880.38
SYPAQ Systems Pty Ltd,24734941
Technology One Pty Ltd,926998.88
Telstra Corporation Limited,64586071.93
THALES AUSTRALIA,58646389.84
TREND MICRO AUSTRALIA PTY LTD,571947.26
ULTIMATE POSITIONING GROUP PTY LTD,626076
ULTRA ELECTRONICS ADVANCED TACTICAL,1555210.48
UNISYS AUSTRALIA LTD,674141.13
UXC Connect,27807808.1
VENTYX PTY LTD,610569.41
VERIZON AUSTRALIA PTY LTD,6486092.6
"VIASAT, INC.",1427407.88
VMWARE INTERNATIONAL LIMITED,14104624.84
Whizdom,672100
Wipro Limited,23536558.1
ZALLCOM PTY LTD,1534358.36
(blank),
Grand Total,3224827233
